plot_label,group_vars,gr_var,direct_var,model,model_data,test_data,in_AIC,in_AICc,in_BIC,in_R2,in_RMSE,in_nRMSEq,in_nRMSEd,out_R2,out_RMSE,in_spear,out_spear,in_cover,out_cover,in_AUC,out_AUC,gr_rej
dmw_cr_tt_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + var_era",model_dat_daily %>% filter(coll_date < '2021-12-31'),model_dat_daily %>% filter(coll_date >= '2021-12-31'),-2514.5738306813796,-2514.173212411735,-2467.042925740896,0.2960860077523608,0.032749082445857815,0.6455001561521732,0.3321262613500808,-0.6746380506696277,0.04518174190983796,0.5691736047137019,0.458,0.944794952681388,0.8541176470588235,0.8347550438067679,0.5,FALSE
dmv_cr_tt_,,gr_roll,growing,"s(sm_mean_ct, bs='cs', by=var_era)",model_dat_daily %>% filter(coll_date < '2021-12-31'),model_dat_daily %>% filter(coll_date >= '2021-12-31'),-2558.789414437813,-2557.743037305188,-2481.0893997089443,0.35230703143175424,0.031290551895693006,0.6167518179524512,0.3173345095661347,-0.4688414851123517,0.04231457253725008,0.6335618361001679,0.345,0.9526813880126183,0.9105882352941177,0.8510519652761032,0.6957440941262983,FALSE
dmsd_cr_tt_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_sd_ct, bs='cs')",model_dat_daily %>% filter(coll_date < '2021-12-31'),model_dat_daily %>% filter(coll_date >= '2021-12-31'),-2511.075068698061,-2510.743144810358,-2467.9651388466427,0.2913089092464739,0.03289104719121467,0.6482983495198027,0.3335660030648857,0.11726757986648007,0.03280326191810652,0.5558603004681039,0.469,0.9542586750788643,0.9529411764705882,0.8197040028936581,0.7000643441492784,FALSE
dmsdw_cr_tt_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_sd_ct, bs='cs') + var_era",model_dat_daily %>% filter(coll_date < '2021-12-31'),model_dat_daily %>% filter(coll_date >= '2021-12-31'),-2526.505156814426,-2525.955953865488,-2470.577279044542,0.31165793905765704,0.0323460034850303,0.6375552760906945,0.32803841832394887,-0.6260666211212031,0.04452169195834543,0.5815854940621156,0.473,0.9479495268138801,0.8682352941176471,0.8391759102966,0.5,FALSE
dmsdv_cr_tt_,,gr_roll,growing,"s(sm_mean_ct, bs='cs', by=var_era) + s(sm_sd_ct, bs='cs', by=var_era)",model_dat_daily %>% filter(coll_date < '2021-12-31'),model_dat_daily %>% filter(coll_date >= '2021-12-31'),-2608.686108280541,-2607.110369313135,-2513.16285432902,0.4057720933639901,0.029893797362116722,0.5892211147328932,0.3031692619740104,-1.625460227637555,0.056572479641202184,0.6560384185543741,0.118,0.9574132492113565,0.7482352941176471,0.8650882163813198,0.5695721114072985,FALSE
dmsk_cr_tt_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_skew_ct, bs='cs')",model_dat_daily %>% filter(coll_date < '2021-12-31'),model_dat_daily %>% filter(coll_date >= '2021-12-31'),-2499.4551011185436,-2499.072390400512,-2453.036949057842,0.2794680223775575,0.03315496446204903,0.6535002857821846,0.3362425316855836,0.1293944929989539,0.03257715828273304,0.5341427608721312,0.463,0.9511041009463722,0.9647058823529412,0.8158859818342578,0.6871725342402795,FALSE
dmskw_cr_tt_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_skew_ct, bs='cs') + var_era",model_dat_daily %>% filter(coll_date < '2021-12-31'),model_dat_daily %>% filter(coll_date >= '2021-12-31'),-2516.9908469086695,-2516.362555655151,-2457.06718545188,0.30248391328622026,0.03254351876565516,0.6414483972093264,0.3300415282376968,-0.6905425353250962,0.04539578643397496,0.5717370312863588,0.465,0.944794952681388,0.8541176470588235,0.8375080379390725,0.5,FALSE
dmskv_cr_tt_,,gr_roll,growing,"s(sm_mean_ct, bs='cs', by=var_era) + s(sm_skew_ct, bs='cs', by=var_era)",model_dat_daily %>% filter(coll_date < '2021-12-31'),model_dat_daily %>% filter(coll_date >= '2021-12-31'),-2595.403676479786,-2593.1224944200517,-2480.44749592438,0.39799864578369937,0.030001319178622112,0.5913404214175534,0.30425969920957396,-0.8363597791186914,0.0473130972371825,0.6609134424738539,0.26,0.9526813880126183,0.8564705882352941,0.8516447632826943,0.685380090081809,FALSE
dmsb_cr_tt_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_sd_ct, bs='cs') + s(sm_skew_ct, bs='cs')",model_dat_daily %>% filter(coll_date < '2021-12-31'),model_dat_daily %>% filter(coll_date >= '2021-12-31'),-2510.926555475623,-2510.5893096645286,-2467.4584340063293,0.2913157360110129,0.0328907256053802,0.6482920109084322,0.33356274168798816,0.11729206945634196,0.03280280688553719,0.5558009689751062,0.469,0.9542586750788643,0.9552941176470588,0.8222259062776304,0.6989613015902197,FALSE
dmsbw_cr_tt_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_sd_ct, bs='cs') + s(sm_skew_ct, bs='cs') + var_era",model_dat_daily %>% filter(coll_date < '2021-12-31'),model_dat_daily %>% filter(coll_date >= '2021-12-31'),-2526.307915913582,-2525.687815448151,-2466.7856838756484,0.3126358385532616,0.03230986514779813,0.636842972093628,0.32767191978597693,-0.6349184072961644,0.044642708407893895,0.5825263691109921,0.475,0.9479495268138801,0.8611764705882353,0.8450134635479463,0.5,FALSE
dmsbv_cr_tt_,,gr_roll,growing,"s(sm_mean_ct, bs='cs', by=var_era) + s(sm_sd_ct, bs='cs', by=var_era) + s(sm_skew_ct, bs='cs', by=var_era)",model_dat_daily %>% filter(coll_date < '2021-12-31'),model_dat_daily %>% filter(coll_date >= '2021-12-31'),-2636.0773593274803,-2633.7795857920755,-2520.7050099048565,0.43575493206815497,0.02904995326870919,0.5725885420504929,0.29461137995184583,-3.0265793190089623,0.07006007893527133,0.6700863738221955,0.11,0.9495268138801262,0.668235294117647,0.8686851941162286,0.5695721114072985,FALSE
